sual,cavab
" Paytinin 20 qırmızı və 24 mavi papağı var. Rəfiqəsi Zolanın özündən 4/5 dəfə çox qırmızı papağı və mavi papaqların sayından iki dəfə çoxdur. Əgər bütün papaqları birləşdirib öz aralarında bərabər bölüşdürsələr, hər birinin neçə papaq aldığını hesablayın.","Paytinin cəmi 20 papağı + 24 papağı var = <<20+24=44>>44 papağı var. Zolanın qırmızı papağının sayı 4/5 * 20 papağı = <<4/5*20=16>>16 papağı var. Zolanın da 2 * 24 papağı var = <<2*24=48>>48 mavi papağı var. Zolanın cəmi 48 papağı + 16 papağı var = <<48+16=64>>64 papağı var. Papaqlarını birləşdirəndə 64 papağı + 44 papağı var = <<64+44=108>>108 papağı olur. Əgər papağı bərabər bölüşdürsələr, hər biri 108 papaq / 2 nəfər = <<108/2=54>>54 papaq/adam #### 54"
 Hans oteldə otaq sifariş etdi. Otelin 10 mərtəbəsi var və hər mərtəbədə 10 eyni otaq var. Qəza səbəbindən sonuncu mərtəbə qonaqlar üçün əlçatan deyil. Başqa qonaq olmadığı üçün Hans neçə fərqli otağa yerləşdirilə bilər?," Otelin cəmi 10 mərtəbəsi var * 10 otaq/mərtəbə = <<10*10=100>>100 otaq. Bir mərtəbə boşdur, ona görə də Hansı 100 otağa bölmək olar - 10 otaq = <<100-10=90>>90 boş otaq. #### 90"
"Dörd sinif yoldaşı doğum aylarına əsasən yaşlarını müqayisə edirdilər. Onlar məlum oldu ki, Jolyn Therese-dən 2 ay, Therese isə Aivo-dan 5 ay böyükdür. Sonra Leon Aivo-dan 2 ay böyükdür. Jolyn Leon-dan aylarla nə qədər böyükdür?"," Jolyn 2 + 5 = <<2+5=7>>Ayvodan 7 ay böyükdür. Leon Ayvodan 2 ay böyük olduğundan, Jolyn Leondan 7 - 2 = 5 ay böyükdür. #### 5"
" Peter qazlı içki almaq üçün mağazaya gedir. Qazlı içkinin unsiyası 0,25 dollardır. Özü ilə 2 dollar gətirdi və 0,50 dollarla getdi. Neçə unsiya qazlı içki aldı?"," O, qazlı içkiyə 1,5 dollar xərcləyir, çünki 2 - .5 = <<2-.5=1,5>>1,5 O, 6 unsiya qazlı içki alıb, çünki 1,5 / .25 = <<6=6>>6 #### 6"
" Conun inəyinin çəkisi 400 funtdur. O, çəkisini başlanğıc çəkisindən 1,5 dəfəyə qədər artırıb. O, inəyin funtunu 3 dollara sata bilir. Çəki artdıqdan sonra onun dəyəri nə qədər artacaq?","İnək əvvəlcə 400*1.5=<<400*1.5=600>>600 funt çəkidə idi. Beləliklə, o, 600 - 400 = <<600-400=200>>200 funt çəki aldı. Beləliklə, onun dəyəri 200*$3 = $<<200*3=600>>600 artdı. #### 600"
" Brandon keçən il 86 gekkon satdı. O, bir il əvvəl iki dəfə çox gekkon satdı. Brandon son iki ildə neçə gekkon satıb?", Keçən il: 86 gekkon 2 il əvvəl: 86(2)=172 Satılan gekkonların ümumi sayı 86+172=<<86+172=258>>258 gekkon #### 258
" Kristian kitabxanada işləyir. O, hər gün orta hesabla 40 kitab götürür. Hər cümə günü onun götürdüyü kitabların sayı gündəlik orta göstəricidən təxminən 40% çoxdur. Əgər kitabxana bazar ertəsindən cümə gününə qədər açıqdırsa, o, həftədə neçə kitab götürür?","Cümə günü borc götürülən kitabların sayı 40 * 40/100 = <<40*40/100=16>>16 kitab qədər çoxdur. Bazar ertəsindən cümə gününə qədər 5 gün var, buna görə də Krystian bu müddət ərzində orta hesabla 5 * 40 = <<5*40=200>>200 kitab borc alır. Cümə günü borc götürülən kitabların sayında artımla Krystian bir həftə ərzində 200 + 16 = <<200+16=216>>216 kitab borc alır. #### 216"
" Herman quşları dekabr, yanvar və fevral aylarında yemləməyi sevir. O, onlara səhər yarım stəkan, günortadan sonra isə yarım stəkan yem verir. Üç ay ərzində ona neçə stəkan yem lazım olacaq?"," Dekabrda 31 gün, yanvarda 31 gün və fevralda 28 gün var, cəmi 31+31+28 = <<31+31+28=90>>90 gün. O, onlara səhər 1/2 stəkan, günortadan sonra isə 1/2 stəkan verir, cəmi 1/2+1/2 = <<1/2+1/2=1>>1>>gündə 1 stəkan. Əgər o, onlara 90 gün ərzində gündə 1 stəkan verirsə, onda ona 1*90 = <<1*90=90>>90 stəkan quş toxumu lazım olacaq #### 90"
"Con performans bonusları təklif edən bir işdə işləyir. O, gündə 80 dollar qazanır və 8 saat işləyir. Gündə əlavə 20 dollar performans bonusu qazanmaq üçün çox çalışmaq seçimi var, lakin əlavə səy iş gününün 2 saat uzadılmasına səbəb olur. Con bonusu qazanmaq qərarına gələrsə, saatda nə qədər qazanacaq?"," Əvvəlcə, Conun bonus qazanmaq qərarına gəldiyi təqdirdə onun iş gününün uzunluğunu müəyyən etməliyik. Bunu onun iş günü üçün 8+2= <<8+2=10>>10 saat hesablamaqla edirik. Daha sonra onun ümumi əmək haqqını müəyyən etməliyik. Bunu gündə 80+20=<<80+20=100>>100 dollar hesablamaqla edirik. Daha sonra Conun əmək haqqını işlənilən saatların sayına bölməklə saatda 100/10= <<100/10=10>>10 dollar hesablamaqla onun saatlıq əmək haqqını müəyyən edirik. #### 10"
"Salli və Bob ilin sonunda səyahətə çıxmağı planlaşdırırlar. Hər ikisi dayə kimi işləməyə və qazandıqlarının yarısını səyahətləri üçün yığmağa qərar verirlər. Əgər Salli gündə 6 dollar, Bob isə gündə 4 dollar qazanırsa, bir ildən sonra hər ikisi səyahətləri üçün nə qədər pul yığacaqlar?"," Saly 1/2 qənaət edir * $6/gün = $<<1/2*6=3>>3/gün. Hər il 365 gün olduğundan, Sallinin bir ildə qənaət edəcəyi ümumi pul məbləği $3/gün * $365/il = $<<3*365=1095>>1095/il Bob 1/2 * $4/gün = $<<1/2*4=2>>2/gün qənaət edir. Bobun bir ildə qənaət edəcəyi ümumi pul məbləği $2/gün * 365 gün/il = $<<2*365=730>>730/ildir. Ümumilikdə, Salli və Bob 730 + $1095 = $<<730+1095=1825>>1825 #### 1825"
" Con nəhəng bir restoran üçün yemək sifariş edir. O, funtu 8 dollara 1000 funt mal əti sifariş edir. O, həmçinin funtu 3 dollara ikiqat çox toyuq sifariş edir. Hər şeyin qiyməti nə qədərdir?","Mal ətinin qiyməti 8 dollar * 1000 = $<<8*1000=8000>>8000 O, 1000 * 2 = <<1000*2=2000>>2000 funt toyuq alır. Beləliklə, toyuğun qiyməti 2000 * 3 dollar = $<<2000*3=6000>>6000-dır. Beləliklə, ümumi xərc 8000 dollar + 6000 dollar = $<<8000+6000=14000>>14,000-dır. #### 14000"
 Con gündə 20 səhifə yazır. Hər biri 400 səhifədən ibarət 3 kitab yazmaq üçün nə qədər vaxt lazım olacaq?," O, 3*400=<<3*400=1200>>1200 səhifə yazmaq istəyir. Deməli, bu, ona 1200/20=<<1200/20=60>>60 gün vaxt aparacaq #### 60"
" Alisin 20 rübü var. O, onları sentlərlə dəyişdirmək istəyir və buna görə də banka gedir. Bankdan qayıtdıqdan sonra o, sentlərin 20%-nin hər birinin 3 dollar dəyərində dəmir sentlər olduğunu aşkar edir. Onun pulunun hazırda ümumi dəyəri nə qədərdir?","Dörddə bir sikkə beş sikkə dəyərindədir, çünki .25 / .05 = <<.25/.05=5>>5 O, bankdan 100 sikkə alır, çünki 20 x 5 = <<20*5=100>>100 sikkələrin 20-si dəmir sikkələrdir, çünki 100 x .20 = <<100*.20=20>>20 sikkələrin 80-i adi sikkələrdir, çünki 100 - 20 = <<100-20=80>>80 Dəmir sikkələrin dəyəri 60 dollardır, çünki 20 x 3 = <<20*3=60>>60 adi sikkələr 4 dollardır, çünki 80 x .05 = <<80*.05=4>>4 Onun pulu indi 64 dollardır, çünki 60 + 4 = <<60+4=64>>64 #### 64"
" Ceymsin yağış suyu toplayan çəlləyi var. Hər düym yağış üçün o, 15 qallon su toplayır. Bazar ertəsi günü 4 düym, çərşənbə axşamı isə 3 düym yağış yağdı. O, suyu hər qallonu 1,2 dollara sata bilər. Bütün suyu satmaqla nə qədər pul qazandı?"," Yağış yağdı 3+4=<<3+4=7>>7 düym Beləliklə, o, 7*15=<<7*15=105>>105 qallon yığdı Beləliklə, o, suyu satmaqla 105*1.2=$<<105*1.2=126>>126 qazanır #### 126"
"Kitabxanaçı Nensi arabadakı kitabları rəfə qoyur. Arabanın yuxarı hissəsindən 12 tarix kitabı, 8 romantika kitabı və 4 şeir kitabı rəfə qoydu. Arabanın alt hissəsindəki kitabların yarısı detektiv kitablar idi və o, onları tez bir zamanda yerinə qoydu. Sonra arabanın altındakı qalan kitabları, o cümlədən 5 Qərb romanı və 6 tərcümeyi-halını rəfə qoydu. Kitab arabasına başlayanda onun neçə kitabı var idi?"," Səbətin alt hissəsindəki kitabların yarısı detektiv kitablardır, yəni onlar birlikdə toplanmış Qərb romanları və tərcümeyi-hallarının sayı ilə eynidir. Beləliklə, 5 + 6 = <<5+6=11>>11 detektiv roman var. Hamısını bir yerə topladıqda, 12 tarix + 8 romantika + 4 poeziya + 11 detektiv + 5 Qərb + 6 tərcümeyi-hal = <<12+8+4+11+5+6=46>>Cəmi 46 kitab var #### 46"
"Hektor bir qutu saqqız topu aldı. O, Todda 4 ədəd verdi, sonra Todda Alişaya verdiyindən iki dəfə çox, sonra isə Bobbiyə Alişaya verdiyindən dörd dəfə az 5 ədəd verdi. Əgər Hektorun 6 saqqız topu qalmışdısa, Hektorun aldığı saqqız toplarının ümumi sayı nə qədər idi?"," Hektor Alişaya Todda verdiyindən iki dəfə çox, cəmi 4*2=<<4*2=8>>8 saqqız topu verdi, Hektor Bobbiyə Alişaya verdiyindən dörd dəfə az 5 saqqız verdi və ya cəmi (8*4)-5=<<8*4-5=27>>27 saqqız topu verdi. Əgər Hektorun 6 saqqız topu qalmışdısa, o, əvvəlcə 4+8+27+6=<<4+8+27+6=45>>45 saqqız topu aldı. #### 45"
"Qeylın iki akvariumu var. Birinci akvariumu ikinci akvariumdan iki dəfə böyükdür. Birinci akvariumda 48 qallon su var. O, hər düym balığa bir qallon su qaydasına əməl edir. Əgər o, ikinci akvariumda iki düymlük, birinci akvariumda isə üç düymlük balıq saxlayarsa, birinci akvarium balığından biri digərini yesə, Qeylın birinci akvariumda ikinci akvariumdan neçə balıq çox olar?"," İkinci akvarium 48 / 2 = <<48/2=24>>24 qallondur. Qeyl öz qaydasına uyğun olaraq ikinci akvariumda 24 / 2 = <<24/2=12>>12 ədəd iki düymlük balıq saxlayır. O, birinci akvariumda 48 / 3 = <<48/3=16>>16 ədəd balıq saxlayır. Əgər birinci akvariumdakı bir balıq digərini yesəydi, birinci akvariumda 16 - 1 = <<16-1=15>>15 ədəd balıq qalardı. Beləliklə, Qeyl birinci akvariumda 15 - 12 = <<15-12=3>>3 ədəd daha çox balıq qalardı. #### 3"
